术语ID	英文	原中文	调整后中文	操作类型	适用组件或语境	既有译法及来源	调整原因	影响消息或簇ID	决策状态	处理轮次	版本	证据索引	有效去重译文对数	来源重复口径
T0275	lazy mode	惰性模式	惰性模式	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0275; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0275	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0276	lazy vacuum	惰性清理	惰性清理	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0276; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0276	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0277	leader	领导者	领导者	保留并限定语境	并行/复制工作进程的主导进程按源码判断；leader 不总是数据库主库，也不继承旧译主机而忽略进程角色。	"unrecognized command received from leader: ""%s"" → 从主机接收到无法识别的命令: ""%s"" [TE-5b66c5ef4caa6bd3e7a1]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0277; 3 messages / 3 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0277	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0278	leader-based replication	基于领导者的复制	基于领导者的复制	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0278; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0278	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0279	leaderless	无主	无主	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0279; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0279	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0280	Lightweight Locks	轻量级锁	轻量级锁	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	Emits information about lightweight lock usage. → 发出有关轻量锁使用的相关信息. [TE-b1118a97ffe35af1bd8f]	有英文检索命中，但中文采用语境化句法/其他表达或保留标识；未获得充分依据替换源术语，保守保留并供具体消息复核。	target-links.jsonl#T0280; 1 messages / 1 clusters	保留；译法需按消息判断	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0280	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0281	line pointer	行指针	行指针	保留并限定语境	页内行指针；与元组本体及偏移号区分。	corrupted line pointer: %u → 已损坏的行指针: %u [TE-f89c6dfa0151926b67fd] | corrupted line pointer: offset = %u, size = %u → 已损坏的行指针: 偏移量 = %u, 大小 = %u [TE-60b87b3e671e34e0bcc6] | corrupted line pointer: offset = %u, length = %u → 损坏的行指针：偏移量 = %u，长度 = %u [TE-6c5b50f4e85d8e4c024b]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0281; 4 messages / 2 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0281	3	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0282	linearizability	线性一致性	线性一致性	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0282; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0282	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0283	load	负载	负载	保留并限定语境	负荷/负载名词为负载；加载库、配置、模块的动词为加载，当前 19 个现行译文对主要是动词。	could not load pg_hba.conf → 无法加载pg_hba.conf [TE-ffbc51f5913c2b2489c8] | could not load wldap32.dll → 无法加载wldap32.dll [TE-e5084058c5d6f8c62623] | load a shared library file → 加载一个共享库文件 [TE-cf06b455a6994c437780]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0283; 22 messages / 10 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0283	19	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0284	Local Cache	本地缓存	本地缓存	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0284; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0284	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0285	locale	区域设置	区域设置	保留并限定语境	区域设置/区域环境依当前对象；locale name 是区域设置名；provider 是提供程序，不等同于消息翻译语言。	"locale → 本地化语言 [TE-67f53e6324e7c0d682ee] |   locale provider:   %s\n →   区域环境支持程序:   %s\n [TE-079776b2444e42c474ff] | invalid locale name ""%s"" → 无效的区域设置名称 ""%s"" [TE-885e704dce750f3d488f]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0285; 91 messages / 16 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0285	62	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0286	Lock Design	锁设计	锁设计	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0286; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0286	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0287	locking clauses	锁定子句	锁定子句	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0287; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0287	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0288	log compaction	日志压实	日志压实	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0288; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0288	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0289	Log Sequence Number	日志序列号	日志序列号	保留并限定语境	日志序列号；消息中现成 LSN 缩写及参数值保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0289; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0289	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0290	log-structured	日志结构	日志结构	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0290; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0290	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0291	logical decoding	逻辑解码	逻辑解码	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	"starting logical decoding for slot ""%s"" → 开始为槽""%s""进行逻辑解码 [TE-d79cf27b09b3e3157b71] | logical decoding requires wal_level >= logical → 逻辑解码要求wal_level >= logical [TE-b597ca1d2225690f36bc] | logical decoding requires a database connection → 逻辑解码需要一个数据库连接 [TE-8de33ff47af32f76b31f]"	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0291; 25 messages / 7 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0291	12	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0292	logical replication	逻辑复制	逻辑复制	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	logical replication launcher started → 逻辑复制启动程序已启动 [TE-16624c6ee4e94bbf4e52] | out of logical replication worker slots → 逻辑复制工作槽不足 [TE-1372aaf48dc38222760c] | logical replication launcher shutting down → 逻辑复制启动程序正在关闭 [TE-f560e0caeefdb34dddfb]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0292; 79 messages / 11 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0292	37	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0293	Logical Structure	逻辑结构	逻辑结构	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0293; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0293	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0294	loose coupling	松耦合	松耦合	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0294; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0294	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0295	Lost Update	丢失更新	丢失更新	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0295; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0295	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0296	LSN	日志序列号	日志序列号	保留并限定语境	保留 LSN 缩写，说明列可解释日志序列号；不得机械把每处 LSN 展开。	missing end LSN → 缺少结束LSN [TE-7a74b0d8d674d66265e7] | missing start LSN → 缺少起始LSN [TE-44264dead5839776aa62] | invalid target wal lsn → 无效的目标wal lsn [TE-23891fd397ad9aba3743]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0296; 70 messages / 19 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0296	14	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0297	LWW	最后写入胜出	最后写入胜出	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0297; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0297	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0298	main data	主数据	主数据	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0298; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0298	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0299	maintainability	可维护性	可维护性	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0299; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0299	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0300	marshalling	编组	编组	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0300; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0300	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0301	master	主库	主库	保留并限定语境	复制角色可主库/主服务器；旧消息中的 Master Server 沿用主服务器，不能推断所有 master 是数据库。	"Replication / Master Server → 复制/主服务器 [TE-ff46ff02da44a74dfce3] | Make sure the configuration parameter ""%s"" is set on the master server. → 确保在主服务器上配置参数 ""%s"" 已经被设置。 [TE-a5c15e3085038b4eaf3b] | Either set wal_level to ""replica"" on the master, or turn off hot_standby here. → 要么在主服务器上把 wal_level 设置为""replica"" ，要么在这里把 hot_standby 关闭。 [TE-fff7fe6997c8678dcdc5]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0301; 0 messages / 0 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0301	7	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0302	master/slave	主库/从库	主库/从库	保留并限定语境	数据库角色说明主库/从库；机器标识、配置名称和代码中的 master/slave 保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0302; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0302	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0303	materialization	物化	物化	保留并限定语境	物化；既有实体化按原消息保留但不作为新建议的首选模板。	Enables the planner's use of materialization. → 启用查询计划器的实体化使用. [TE-46432f82a0294fe1768b]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0303; 1 messages / 1 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0303	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0304	Materialize	物化	物化	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	table-function protocol for materialize mode was not followed → 没有跟随针对物化模式的表函数协议 [TE-630b58ed1d2d7426a15c] | materialize mode required, but it is not allowed in this context → 要求使用物化模式，但是在这种环境下不允许使用. [TE-2a97188e83fa6b95980f] | materialize mode required, but it is not allowed in this context → 要求物化模式，但是在这种环境下不允许使用 [TE-6809e732212953071188]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0304; 5 messages / 5 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0304	3	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0305	Materialized Merge Join	物化归并连接	物化归并连接	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0305; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0305	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0306	materialized nested loop join	物化嵌套循环连接	物化嵌套循环连接	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0306; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0306	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0307	Materializing conflicts	物化冲突	物化冲突	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0307; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0307	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0308	MCV	高频值	高频值	保留并限定语境	显示标签与 SQL 标识中的 MCV 保留；解释高频值，词表释义不是强制展开命令。	MCV → MCV [TE-e1a1a7ea4139a2b02795]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0308; 3 messages / 2 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0308	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0309	median	中位数	中位数	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0309; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0309	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0310	Merge Join	归并连接	归并连接	保留并限定语境	归并连接；合并联合等旧译有术语漂移，不以频次覆盖技术概念。	only binary operators can merge join → 只有二进制操作符可以合并联合 [TE-36612a8be54280f55ec8] | only boolean operators can merge join → 只有布尔类型操作符可以进行合并联合操作 [TE-f34c08bacea46c3f595a] | Enables the planner's use of merge join plans. → 启用查询计划器的合并连接计划. [TE-8e59030b51282cfc9d3d]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0310; 3 messages / 2 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0310	3	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0311	Merging Sorted Sets	归并有序集合	归并有序集合	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0311; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0311	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0312	migration	迁移	迁移	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0312; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0312	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0313	Minmax Classes	Minmax 操作符类	Minmax 操作符类	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0313; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0313	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0314	Minmax-Multi Classes	Minmax-Multi 操作符类	Minmax-Multi 操作符类	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0314; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0314	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0315	Miscellaneous Locks	杂项锁	杂项锁	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0315; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0315	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0316	monotonic reads	单调读	单调读	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0316; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0316	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0317	Most Common Value	高频值	高频值	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0317; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0317	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0318	Most Common Values	高频值	高频值	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0318; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0318	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0319	most_common_freqs	高频值频率	高频值频率	保留并限定语境	系统字段 most_common_freqs 原样保留；解释高频值频率。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0319; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0319	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0320	most_common_vals	高频值	高频值	保留并限定语境	系统字段 most_common_vals 原样保留；解释高频值。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0320; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0320	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
